SampleID	Raw_reads	Selected_reads	deduped	filteredAndTrimmed	denoised	chimera.filtered	HostUnmapped_reads	ViralUnmapped_reads	BacterialMapped_reads
plate1_N701-S505_LCS778T_NEGpcr1	83403	652	480	24	9	9	0	0	0
plate1_N701-S506_108bac1	1243289	398149	160276	127519	92289	65991	65949	65991	65912
plate1_N701-S507_104bac1	1113596	267607	124528	89488	61549	55670	23166	55670	21448
plate1_N701-S508_1bac1	505490	89388	34471	19356	5792	5686	1380	5330	11
plate1_N701-S510_ENRICHMENTCONTROL3	26736	862	810	53	35	35	0	35	0
plate1_N701-S511_MDRLIVER1A	172893	7016	5222	2924	2306	2230	806	2230	801
plate1_N702-S505_LCS779T_NEGpcr2	424822	2925	1794	144	103	103	0	0	0
plate1_N702-S506_108bac2	1782015	612349	196136	168643	148768	106665	106626	106665	106622
plate1_N702-S507_104bac2	1671104	417038	166673	131104	98995	88520	23126	88179	20966
plate1_N702-S508_1bac2	1426163	336894	141321	107553	84104	78540	2769	78269	823
plate1_N702-S510_ENRICHMENTCONTROL4	19066	691	645	36	13	13	0	13	0
plate1_N702-S511_MDRLIVER1B	173994	16653	10245	6846	5563	4946	1904	4946	1862
plate1_N703-S505_LCS780T_NEGpcr3	89	12	12	0	0	0	0	0	0
plate1_N703-S506_108bac3	1064101	367101	159014	129086	107258	77324	77275	77324	77255
plate1_N703-S507_104bac3	894147	247500	114625	87595	72351	59282	45436	58938	43978
plate1_N703-S508_1bac3	1075549	252913	122669	88631	69831	66047	2081	65978	535
plate1_N703-S510_CELLSONLY1	2034102	562684	173418	134715	123034	114593	913	114593	18
plate1_N703-S511_MDRLIVER1C	450346	53204	18651	12072	10401	9640	984	9640	933
plate1_N704-S505_LCS778NT_NEGpcr4	35600	252	200	8	3	3	0	0	0
plate1_N704-S506_107bac1	1050420	336846	152905	131339	126630	96447	95185	96447	95160
plate1_N704-S507_103bac1	278614	43000	33164	15663	11250	10794	1322	10794	1201
plate1_N704-S508_01bac1	392	98	98	30	22	22	0	22	0
plate1_N704-S510_CELLSONLY2	132128	38866	30691	23867	20435	19257	263	19257	0
plate1_N704-S511_MDRLIVER2A	157753	27373	17351	11648	5792	5541	1778	5541	624
plate1_N705-S506_107bac2	1321766	419136	176062	150493	143429	105899	103585	105899	103490
plate1_N705-S507_103bac2	1528420	396557	162508	124532	95081	88290	4762	88275	3243
plate1_N705-S508_01bac2	250	60	60	9	1	1	1	0	0
plate1_N705-S510_CELLSONLY3	41156	6167	4750	3059	368	368	50	368	0
plate1_N705-S511_MDRLIVER2B	412671	58922	38429	28677	22106	20821	1655	20821	887
plate1_N706-S506_107bac3	825908	224412	123606	100742	90789	68523	65370	68523	65272
plate1_N706-S507_103bac3	1895375	529955	181902	140461	113554	104935	3661	104922	2213
plate1_N706-S508_01bac3	1076	247	243	138	93	93	0	93	0
plate1_N706-S510_CELLSONLY4	220452	47813	32590	24769	18230	17304	320	17304	0
plate1_N706-S511_MDRLIVER2C	181265	18782	13957	9716	5390	5123	881	5123	340
plate1_N707-S506_106bac1	1196911	355446	160828	134192	124574	95082	91356	95082	91151
plate1_N707-S507_102bac1	1593477	431123	169871	131313	104739	97153	2188	96944	720
plate1_N707-S508_RNACONTROL1	16599	269	254	34	21	21	0	21	0
plate1_N707-S510_CELLSONLY5	1626875	418994	151720	119301	106788	99624	561	99624	0
plate1_N707-S511_MDRLIVER3A	56033	633	468	101	6	6	0	6	0
plate1_N710-S506_106bac2	1225016	384732	162974	138996	131252	101270	97506	101270	97378
plate1_N710-S507_102bac2	4814492	1317804	224697	179555	155979	143399	5358	141839	1501
plate1_N710-S508_RNACONTROL2	10777	857	745	391	331	270	259	270	259
plate1_N710-S510_CELLSONLY6	363447	95858	59385	46794	39350	37133	453	37125	0
plate1_N710-S511_MDRLIVER3B	38123	3721	2206	1431	1118	1118	447	1118	447
plate1_N711-S506_106bac3	1001125	266208	135033	108841	97830	75745	71087	75745	70810
plate1_N711-S507_102bac3	7585761	1929127	232870	177443	146925	135638	6500	135254	3045
plate1_N711-S508_RNACONTROL3	156198	1691	1273	244	165	154	128	154	128
plate1_N711-S510_CELLSONLY7	1621798	399657	149854	115814	104911	98334	716	98331	0
plate1_N711-S511_MDRLIVER3C	556	142	139	29	25	25	0	25	0
plate1_N712-S506_105bac1	1130237	295204	139808	114217	100482	82087	67349	82087	66531
plate1_N712-S507_10bac1	4008083	1064097	215962	168099	140263	128011	4838	127969	1994
plate1_N712-S508_RNACONTROL4	137965	1527	1151	320	225	225	220	225	220
plate1_N712-S510_CELLSONLY8	1182791	316706	126586	99542	89875	84173	508	84173	3
plate1_N712-S511_NEGcDNA1	288	66	66	4	1	1	1	1	1
plate1_N714-S506_105bac2	1472705	403130	164965	132510	115188	97090	59702	97090	58531
plate1_N714-S507_10bac2	1781055	507584	175939	138186	119002	109061	5065	109052	3393
plate1_N714-S508_ENRICHMENTCONTROL1	60842	1340	1137	518	458	458	451	458	451
plate1_N714-S510_CELLSONLY9	249757	67629	45227	35028	29991	28524	488	28402	6
plate1_N714-S511_NEGcDNA2	183	47	47	2	1	1	1	1	1
plate1_N715-S506_105bac3	1227548	330425	149035	122092	109362	89707	68626	89707	67866
plate1_N715-S507_10bac3	1953973	594153	173847	137291	122078	109983	12894	109974	10855
plate1_N715-S508_ENRICHMENTCONTROL2	53110	603	511	143	112	112	108	112	108
plate1_N715-S510_CELLSONLYL	642934	198996	91852	72543	66164	62365	673	62365	19
plate1_N715-S511_NEGcDNA3	142	44	44	1	1	1	0	1	0
